Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
Lucerne,Switzerland,2021-07-04,348356,,,2021/07/04,75612
Neuchatel,Switzerland,2021-07-04,148417,,,2021/07/04,75613
Nidwalden,Switzerland,2021-07-04,35408,,,2021/07/04,75614
Obwalden,Switzerland,2021-07-04,30340,,,2021/07/04,75615
Schaffhausen,Switzerland,2021-07-04,75127,,,2021/07/04,75616
Schwyz,Switzerland,2021-07-04,124686,,,2021/07/04,75617
Solothurn,Switzerland,2021-07-04,240118,,,2021/07/04,75618
St. Gallen,Switzerland,2021-07-04,406360,,,2021/07/04,75619
Thurgau,Switzerland,2021-07-04,224716,,,2021/07/04,75620
Ticino,Switzerland,2021-07-04,328876,,,2021/07/04,75621
Uri,Switzerland,2021-07-04,30829,,,2021/07/04,75622
Valais,Switzerland,2021-07-04,281046,,,2021/07/04,75623
Vaud,Switzerland,2021-07-04,702785,,,2021/07/04,75624
Zug,Switzerland,2021-07-04,112833,,,2021/07/04,75625
Zurich,Switzerland,2021-07-04,1392684,,,2021/07/04,75626
,Syria,2021-07-04,108276,102319,5957,2021/07/04,760
,Taiwan*,2021-07-04,2278338,2232145,46193,2021/07/04,158
,Thailand,2021-07-04,10227183,7364585,2862598,2021/07/04,764
,Togo,2021-07-04,347246,270784,76462,2021/07/04,768
,Trinidad and Tobago,2021-07-04,319591,216708,102883,2021/07/04,780
,Tunisia,2021-07-04,1844651,1290856,553795,2021/07/04,788
,Turkey,2021-07-04,52424915,35673239,15522900,2021/07/04,792
,US,2021-07-04,329970551,182109860,156982549,2021/07/04,840
,US (Aggregate),2021-07-04,328965449,182109860,156982549,2021/07/04,840
,Uganda,2021-07-04,937417,861645,4129,2021/07/04,800
,Ukraine,2021-07-04,2900627,2001130,766483,2021/07/04,804
Cherkasy Oblast,Ukraine,2021-07-04,97476,,,2021/07/04,80401
Chernihiv Oblast,Ukraine,2021-07-04,77161,,,2021/07/04,80402
Chernivtsi Oblast,Ukraine,2021-07-04,47444,,,2021/07/04,80403
Dnipropetrovsk Oblast,Ukraine,2021-07-04,242614,,,2021/07/04,80405
Donetsk Oblast,Ukraine,2021-07-04,115414,,,2021/07/04,80406
Ivano-Frankivsk Oblast,Ukraine,2021-07-04,76568,,,2021/07/04,80407
Kharkiv Oblast,Ukraine,2021-07-04,173408,,,2021/07/04,80408
Kherson Oblast,Ukraine,2021-07-04,74466,,,2021/07/04,80409
Khmelnytskyi Oblast,Ukraine,2021-07-04,91099,,,2021/07/04,80410
Kiev,Ukraine,2021-07-04,380955,,,2021/07/04,80411
Kiev Oblast,Ukraine,2021-07-04,197975,,,2021/07/04,80412
Kirovohrad Oblast,Ukraine,2021-07-04,59169,,,2021/07/04,80413
Luhansk Oblast,Ukraine,2021-07-04,58687,,,2021/07/04,80414
Lviv Oblast,Ukraine,2021-07-04,182726,,,2021/07/04,80415
Mykolaiv Oblast,Ukraine,2021-07-04,95838,,,2021/07/04,80416
Odessa Oblast,Ukraine,2021-07-04,110473,,,2021/07/04,80417
Poltava Oblast,Ukraine,2021-07-04,151143,,,2021/07/04,80418
Rivne Oblast,Ukraine,2021-07-04,75330,,,2021/07/04,80419
